DATETIME,X,Y,Z
115711203,0.73,0.09,9.73
115711204,0.76,0.11,9.70
115711205,0.56,0.10,9.62
115711206,0.42,0.04,9.72
115711209,0.62,0.00,9.75
115711209,0.83,0.12,9.69
115711211,0.52,0.07,9.74
115711211,0.53,0.04,9.79
115711213,0.69,0.01,9.74
115711213,0.79,0.06,9.59
115711215,0.68,0.04,9.57
115711215,0.51,-0.05,9.68
115711216,0.47,-0.03,9.75
115711216,0.70,0.06,9.70
115711218,0.71,0.11,9.68
115711218,0.58,0.11,9.59
115711220,0.62,-0.01,9.67
115711223,0.75,0.05,9.74
115711223,0.80,0.18,9.82
115711225,0.57,0.06,9.79
115711225,0.42,-0.10,9.77
115711227,0.65,0.01,9.71
115711227,0.82,0.08,9.64
115711229,0.74,0.06,9.70
115711229,0.47,0.03,9.65
115711231,0.49,-0.05,9.66
115711231,0.70,0.06,9.74
115711233,0.68,0.11,9.70
115711233,0.51,0.06,9.73
115711235,0.59,0.02,9.69
115711235,0.79,0.07,9.64
115711237,0.80,0.11,9.73
115711238,0.58,0.06,9.75
115711240,0.45,-0.01,9.71
115711241,0.61,-0.00,9.68
115711243,0.84,0.07,9.78
115711243,0.77,0.14,9.73
115711244,0.56,0.05,9.73
115711244,0.69,0.00,9.71
115711246,0.83,0.08,9.74
115711247,0.69,0.07,9.70
115711249,0.47,0.05,9.75
115711249,0.52,-0.03,9.69
115711251,0.78,0.02,9.75
115711251,0.81,0.08,9.81
115711252,0.63,0.11,9.54
115711252,0.48,0.04,9.66
115711256,0.57,0.02,9.84
115711256,0.74,0.06,9.44
115711257,0.64,0.06,9.91
115711257,0.52,-0.06,9.65
115711259,0.71,0.03,9.47
115711259,0.93,0.17,9.79
115711261,0.69,0.12,9.78
115711263,0.46,0.04,9.50
115711264,0.51,0.10,9.78
115711265,0.73,0.06,9.96
115711266,0.81,0.03,9.57
115711266,0.72,0.15,9.61
115711268,0.49,0.10,9.91
115711268,0.50,-0.04,9.58
115711270,0.88,0.14,9.84
115711270,0.61,0.02,9.84
115711273,0.44,0.01,9.50
115711273,0.66,0.09,9.75
115711275,0.84,0.06,9.93
115711275,0.76,0.02,9.55
115711277,0.59,0.06,9.60
115711277,0.53,0.05,9.90
115711279,0.60,0.02,9.58
115711279,0.78,0.13,9.50
115711281,0.70,0.21,9.90
115711281,0.45,-0.04,9.50
115711283,0.74,0.09,9.75
115711283,0.89,0.10,9.88
115711285,0.59,0.04,9.47
115711286,0.45,0.08,9.49
115711287,0.60,-0.01,9.89
115711287,0.68,-0.08,9.65
115711290,0.75,0.11,9.44
115711290,0.64,0.15,9.88
115711292,0.44,-0.06,9.82
115711292,0.62,-0.04,9.40
115711294,0.73,0.08,9.90
115711294,0.43,-0.06,9.57
115711296,0.51,0.02,9.63
115711296,0.75,0.06,9.92
115711298,0.75,0.05,9.70
115711298,0.67,0.12,9.51
115711300,0.53,0.13,9.87
115711300,0.51,-0.04,9.78
115711302,0.80,0.04,9.47
115711303,0.87,0.14,9.79
115711304,0.56,-0.01,9.96
115711304,0.61,0.01,9.62
115711307,0.84,0.06,9.90
115711307,0.76,0.00,9.65
115711309,0.53,0.07,9.53
115711309,0.51,0.06,9.89
115711312,0.63,0.04,9.76
115711312,0.78,0.09,9.49
115711314,0.74,0.18,9.79
115711314,0.47,0.01,9.93
115711316,0.42,-0.08,9.50
115711318,0.74,0.14,9.52
115711318,0.63,0.00,9.59
115711320,0.45,-0.01,9.50
115711320,0.61,0.08,9.83
115711322,0.80,0.03,9.76
