DATETIME,X,Y,Z
154958454, -0.07,-0.61,10.12
154958457, -0.37,-0.51,10.01
154958460, -0.42,-0.26,9.90
154958460, -0.02,0.03,10.13
154958463, 0.28,-0.10,10.31
154958465, 0.35,-0.52,10.43
154958468, 0.17,-0.59,10.20
154958471, -0.41,-0.33,9.94
154958473, -0.33,-0.12,9.94
154958473, -0.16,0.07,10.06
154958476, 0.13,0.08,10.24
154958479, 0.40,-0.15,10.34
154958482, 0.35,-0.55,10.37
154958484, -0.01,-0.65,10.13
154958484, -0.26,-0.51,10.07
154958488, -0.34,0.02,9.92
154958490, 0.27,0.02,10.34
154958492, 0.49,-0.26,10.35
154958496, 0.40,-0.47,10.42
154958496, 0.17,-0.71,10.34
154958499, -0.06,-0.66,10.13
154958501, -0.43,-0.16,9.86
154958504, -0.30,0.00,9.95
154958506, -0.03,-0.01,10.13
154958509, 0.46,-0.37,10.40
154958509, 0.15,-0.64,10.21
154958512, -0.18,-0.56,9.97
154958515, -0.39,-0.39,9.97
154958518, -0.40,-0.08,9.95
154958520, -0.23,0.08,10.04
154958520, 0.38,-0.19,10.43
154958523, 0.49,-0.40,10.44
154958526, 0.36,-0.64,10.39
154958528, 0.08,-0.70,10.25
154958532, -0.30,-0.00,9.90
154958532, -0.07,0.05,10.08
154958534, 0.23,-0.05,10.37
154958538, 0.42,-0.32,10.35
154958540, 0.40,-0.53,10.40
154958543, -0.04,-0.61,10.16
154958545, -0.32,-0.43,9.96
154958546, -0.47,-0.18,9.93
154958548, -0.24,0.06,10.01
154958551, 0.49,-0.37,10.42
154958554, 0.41,-0.54,10.40
154958556, 0.12,-0.66,10.27
154958557, -0.22,-0.52,10.07
154958560, -0.41,-0.40,9.88
154958562, -0.13,0.05,10.02
154958565, 0.17,0.06,10.25
154958568, 0.48,-0.14,10.33
154958568, 0.50,-0.43,10.42
154958571, 0.38,-0.64,10.32
154958573, -0.43,-0.20,9.93
154958576, -0.27,0.05,9.97
154958579, -0.05,0.09,10.06
154958581, 0.25,-0.02,10.27
154958582, 0.45,-0.32,10.40
154958584, 0.23,-0.66,10.31
154958587, -0.07,-0.61,10.13
154958590, -0.34,-0.40,9.96
154958592, -0.44,-0.13,9.96
154958592, -0.29,0.09,10.05
154958596, 0.47,-0.40,10.47
154958599, 0.37,-0.57,10.35
154958601, 0.02,-0.68,10.17
154958604, -0.22,-0.58,9.93
154958604, -0.35,-0.04,9.92
154958607, -0.13,0.05,10.00
154958609, 0.17,0.00,10.31
154958612, 0.37,-0.19,10.40
154958615, 0.40,-0.41,10.41
154958617, -0.27,-0.45,9.95
154958617, -0.38,-0.22,9.87
154958619, -0.29,0.01,9.95
154958623, -0.13,0.05,10.10
154958625, 0.45,-0.30,10.35
154958629, 0.45,-0.49,10.38
154958629, 0.19,-0.65,10.31
154958631, -0.10,-0.58,10.07
154958634, -0.37,-0.39,9.89
154958637, -0.26,0.05,9.96
154958639, 0.39,-0.11,10.39
154958639, 0.53,-0.39,10.52
154958642, 0.40,-0.60,10.40
154958644, -0.24,-0.50,9.99
154958648, -0.38,-0.29,9.86
154958650, -0.35,-0.04,9.88
154958650, -0.13,0.09,9.96
154958654, 0.23,0.05,10.24
154958656, 0.45,-0.49,10.51
154958658, 0.33,-0.72,10.33
154958662, -0.34,-0.43,10.03
154958664, -0.41,-0.17,9.93
154958664, -0.07,0.07,10.23
154958668, 0.29,-0.03,10.40
154958670, 0.50,-0.36,10.46
154958672, 0.44,-0.55,10.47
154958676, 0.18,-0.69,10.28
154958676, -0.34,-0.37,9.96
154958678, -0.41,-0.11,9.84
154958680, 0.10,0.05,10.23
154958684, 0.34,-0.18,10.46
154958686, 0.41,-0.63,10.34
154958686, 0.09,-0.72,10.13
154958690, -0.22,-0.58,10.02
154958693, -0.37,-0.33,9.87
154958695, -0.35,-0.05,9.88
154958699, 0.22,0.01,10.32
154958699, 0.45,-0.20,10.43
154958701, 0.49,-0.45,10.38
154958703, -0.06,-0.68,10.14
154958707, -0.42,-0.21,9.94
154958709, -0.28,0.00,9.99
154958711, -0.01,0.08,10.15
154958713, 0.31,-0.07,10.23
154958715, 0.50,-0.34,10.29
154958717, 0.15,-0.67,10.22
154958721, -0.12,-0.57,10.07
154958723, -0.37,-0.38,9.97
154958723, -0.35,-0.08,9.86
154958725, 0.45,-0.18,10.39
154958729, 0.46,-0.40,10.47
154958730, 0.34,-0.60,10.40
154958734, 0.08,-0.68,10.24
154958736, -0.25,-0.52,10.02
154958736, -0.35,-0.02,9.93
154958740, -0.07,0.11,10.03
154958743, 0.21,0.03,10.29
154958744, 0.49,-0.28,10.40
154958748, -0.04,-0.59,10.03
154958748, -0.34,-0.39,9.90
154958750, -0.42,-0.17,9.84
154958752, -0.28,-0.01,9.91
154958756, -0.02,0.02,10.08
154958758, 0.52,-0.35,10.40
154958758, 0.47,-0.54,10.32
154958762, 0.13,-0.69,10.15
154958764, -0.17,-0.57,9.95
154958766, -0.34,-0.34,9.85
154958770, 0.21,0.06,10.22
154958772, 0.41,-0.16,10.37
154958772, 0.51,-0.42,10.53
154958776, 0.34,-0.63,10.39
154958778, -0.29,-0.51,9.93
154958780, -0.45,-0.29,10.00
